osal_time_ms,osal_time_ms_as_us,osal_time_us,osal_us_minus_ms_us,aircraft_time_us,synchronized,aircraft_time_valid
5190,5190000,5190303,303,0,0,0
6188,6188000,6187672,-328,0,0,0
7188,7188000,7187652,-348,0,0,0
8188,8188000,8187802,-198,0,0,0
9188,9188000,9187804,-196,0,0,0
10188,10188000,10187794,-206,0,0,0
11188,11188000,11187743,-257,0,0,0
12188,12188000,12187681,-319,0,0,0
13188,13188000,13187795,-205,0,0,0
14188,14188000,14187798,-202,0,0,0
15188,15188000,15187934,-66,0,0,0
16188,16188000,16187780,-220,0,0,0
17188,17188000,17187671,-329,0,0,0
18188,18188000,18187833,-167,0,0,0
