receive_osal_time_us,estimated_measurement_osal_time_us,sequence_number,estimated_period_us,time_estimate_ready,time_discontinuity_detected,angle_deg,distance_m,signal_strength,measurement_valid
5301775,5299775,0,2000,0,0,-41.09999847412109,0.4699999988079071,100,1
5303767,5301775,1,2000,0,0,-41.09999847412109,0.4600000083446503,100,1
5305783,5303775,2,2000,0,0,-41.54999923706055,0.4699999988079071,100,1
5307757,5305775,3,2000,0,0,-41.54999923706055,0.4799999892711639,100,1
5309641,5307775,4,2000,0,0,-41.9900016784668,0.4799999892711639,100,1
5311617,5309775,5,2000,0,0,-41.9900016784668,0.4799999892711639,100,1
5313576,5311775,6,2000,0,0,-42.43999862670898,0.4699999988079071,100,1
5315619,5313775,7,2000,0,0,-42.90000152587891,0.4900000095367432,100,1
5317592,5315775,8,2000,0,0,-42.90000152587891,0.4799999892711639,100,1
5319622,5317775,9,2000,0,0,-43.34999847412109,0.4799999892711639,100,1
5321621,5319775,10,2000,0,0,-45.75,0.4900000095367432,100,1
5323627,5321775,11,2000,0,0,-46.20000076293945,0.4799999892711639,100,1
5325620,5323775,12,2000,0,0,-45.75,0.4900000095367432,100,1
5327622,5325775,13,2000,0,0,-45.75,0.5,100,1
5329613,5327775,14,2000,0,0,-45.29999923706055,0.5,100,1
5331619,5329775,15,2000,0,0,-45.29999923706055,0.5,100,1
5333616,5331775,16,2000,0,0,-44.84999847412109,0.5,100,1
5335654,5333775,17,2000,0,0,-44.84999847412109,0.5,100,1
5337518,5335775,18,2000,0,0,-44.40000152587891,0.5,100,1
5339489,5337775,19,2000,0,0,-43.95000076293945,0.4699999988079071,100,1
5341473,5339775,20,2000,0,0,-43.95000076293945,0.4799999892711639,100,1
5343465,5341775,21,2000,0,0,-43.5,0.4799999892711639,100,1
5345472,5343775,22,2000,0,0,-43.5,0.4699999988079071,100,1
5347436,5345775,23,2000,0,0,-43.04999923706055,0.4699999988079071,100,1
5349457,5347775,24,2000,0,0,-42.59999847412109,0.4799999892711639,100,1
5351438,5349775,25,2000,0,0,-42.59999847412109,0.4699999988079071,100,1
5353439,5351775,26,2000,0,0,-42.15000152587891,0.4699999988079071,100,1
5355434,5353775,27,2000,0,0,-42.15000152587891,0.4600000083446503,100,1
5357407,5355775,28,2000,0,0,-41.70000076293945,0.4600000083446503,100,1
5359425,5357775,29,2000,0,0,-41.25,0.4699999988079071,100,1
5361416,5359775,30,2000,0,0,-40.79999923706055,0.449999988079071,100,1
5363395,5361775,31,2000,0,0,-40.79999923706055,0.449999988079071,100,1
5365403,5363775,32,2000,0,0,-40.34000015258789,0.449999988079071,100,1
5367409,5365775,33,2000,0,0,-39.90000152587891,0.449999988079071,100,1
5369369,5367775,34,2000,0,0,-39.45000076293945,0.449999988079071,100,1
5371342,5369775,35,2000,0,0,-39,0.449999988079071,100,1
5373337,5371775,36,2000,0,0,-39,0.4600000083446503,100,1
5375338,5373775,37,2000,0,0,-38.54999923706055,0.4699999988079071,100,1
5377310,5375775,38,2000,0,0,-38.09000015258789,0.4600000083446503,100,1
5379353,5377775,39,2000,0,0,-37.65000152587891,0.4600000083446503,100,1
5381326,5379775,40,2000,0,0,-37.20000076293945,0.449999988079071,100,1
5383377,5381775,41,2000,0,0,-36.75,0.449999988079071,100,1
5385342,5383775,42,2000,0,0,-36.29999923706055,0.4600000083446503,100,1
5387320,5385775,43,2000,0,0,-35.40000152587891,0.4300000071525574,100,1
5389305,5387775,44,2000,0,0,-34.95000076293945,0.4399999976158142,100,1
5391246,5389775,45,2000,0,0,-34.5,0.4399999976158142,100,1
5393237,5391775,46,2000,0,0,-33.59000015258789,0.4399999976158142,100,1
5395221,5393775,47,2000,0,0,-32.70000076293945,0.4399999976158142,100,1
5397195,5395775,48,2000,0,0,-31.79999923706055,0.4399999976158142,100,1
5399197,5397775,49,2000,0,0,-30.89999961853027,0.4399999976158142,100,1
5401199,5399717,50,1988.48,1,0,-30,0.4199999868869781,100,1
5403218,5401706,51,1988.48,1,0,-29.10000038146973,0.449999988079071,100,1
5405207,5403694,52,1988.48,1,0,-27.75,0.4699999988079071,100,1
5407200,5405683,53,1988.48,1,0,-26.85000038146973,0.449999988079071,100,1
5409184,5407671,54,1988.48,1,0,-25.95000076293945,0.4399999976158142,100,1
5411179,5409660,55,1988.48,1,0,-25.04999923706055,0.4399999976158142,100,1
5413174,5411648,56,1988.48,1,0,-23.70000076293945,0.449999988079071,100,1
5415141,5413637,57,1988.48,1,0,-22.79999923706055,0.4399999976158142,100,1
5417139,5415625,58,1988.48,1,0,-21.89999961853027,0.449999988079071,100,1
5419121,5417614,59,1988.48,1,0,-21,0.449999988079071,100,1
5421102,5419602,60,1988.48,1,0,-20.10000038146973,0.4600000083446503,100,1
5423094,5421591,61,1988.48,1,0,-18.75,0.449999988079071,100,1
5425095,5423579,62,1988.48,1,0,-17.85000038146973,0.4600000083446503,100,1
5427103,5425568,63,1988.48,1,0,-16.95000076293945,0.4900000095367432,100,1
5429096,5427556,64,1988.48,1,0,-16.04000091552734,0.9200000166893005,100,1
5431126,5429545,65,1988.48,1,0,-14.69999980926514,1.080000042915344,100,1
5433105,5431533,66,1988.48,1,0,-13.78999996185303,1.100000023841858,100,1
5435125,5433522,67,1988.48,1,0,-12.89999961853027,1.110000014305115,100,1
5437090,5435510,68,1988.48,1,0,-11.98999977111816,1.110000014305115,100,1
5439108,5437499,69,1988.48,1,0,-11.10000038146973,1.110000014305115,100,1
5441052,5439487,70,1988.48,1,0,-9.75,1.100000023841858,100,1
5443078,5441475,71,1988.48,1,0,-8.840000152587891,1.120000004768372,100,1
5444997,5443464,72,1988.48,1,0,-7.949999809265137,1.129999995231628,100,1
5446993,5445452,73,1988.48,1,0,-7.050000190734863,1.129999995231628,100,1
5449008,5447441,74,1988.48,1,0,-5.699999809265137,1.139999985694885,100,1
5450984,5449429,75,1988.48,1,0,-4.800000190734863,1.149999976158142,100,1
5452977,5451418,76,1988.48,1,0,-3.900000095367432,1.149999976158142,100,1
5454969,5453406,77,1988.48,1,0,-3,1.159999966621399,100,1
5456967,5455395,78,1988.48,1,0,-2.089999914169312,1.169999957084656,100,1
5458945,5457383,79,1988.48,1,0,-1.200000047683716,1.190000057220459,100,1
5460931,5459372,80,1988.48,1,0,0.1400000005960464,1.190000057220459,100,1
5462976,5461360,81,1988.48,1,0,1.039999961853027,1.200000047683716,100,1
5464916,5463349,82,1988.48,1,0,1.940000057220459,1.210000038146973,100,1
5466904,5465337,83,1988.48,1,0,2.839999914169312,1.220000028610229,100,1
5468923,5467326,84,1988.48,1,0,4.190000057220459,1.230000019073486,100,1
5470911,5469314,85,1988.48,1,0,5.090000152587891,1.240000009536743,100,1
5472904,5471303,86,1988.48,1,0,6,1.25,100,1
5474922,5473291,87,1988.48,1,0,6.889999866485596,1.259999990463257,100,1
5476898,5475280,88,1988.48,1,0,7.800000190734863,1.279999971389771,100,1
5478885,5477268,89,1988.48,1,0,9.140000343322754,1.309999942779541,100,1
5480893,5479257,90,1988.48,1,0,10.05000019073486,1.879999995231628,100,1
5482841,5481245,91,1988.48,1,0,10.94999980926514,2.059999942779541,100,1
5484830,5483234,92,1988.48,1,0,11.85000038146973,2.099999904632568,100,1
5486824,5485222,93,1988.48,1,0,12.75,2.079999923706055,100,1
5488806,5487211,94,1988.48,1,0,14.10000038146973,1.779999971389771,100,1
5490807,5489199,95,1988.48,1,0,14.98999977111816,1.730000019073486,100,1
5492810,5491187,96,1988.48,1,0,15.89999961853027,1.690000057220459,100,1
5494795,5493176,97,1988.48,1,0,16.79000091552734,1.649999976158142,100,1
5496803,5495164,98,1988.48,1,0,18.14999961853027,1.620000004768372,100,1
5498785,5497153,99,1988.48,1,0,19.04000091552734,1.600000023841858,100,1
5500803,5499108,100,1989.2,1,0,19.94000053405762,1.590000033378601,100,1
