topic_time_ms,topic_time_us,success,return_code,longitude_deg_e7,latitude_deg_e7,altitude_mm
5189,5189000,1,0,0,0,181000
5388,5388000,1,0,0,0,181000
5588,5588000,1,0,0,0,181000
5788,5788000,1,0,0,0,181000
5988,5988000,1,0,0,0,181000
6188,6188000,1,0,0,0,181000
6388,6388000,1,0,0,0,181000
6588,6588000,1,0,0,0,181000
6788,6788000,1,0,0,0,181000
6988,6988000,1,0,0,0,181000
7188,7188000,1,0,0,0,181000
7388,7388000,1,0,0,0,181000
7588,7588000,1,0,0,0,181000
7788,7788000,1,0,0,0,181000
7988,7988000,1,0,0,0,181000
8188,8188000,1,0,0,0,181000
8388,8388000,1,0,0,0,181000
8588,8588000,1,0,0,0,181000
8788,8788000,1,0,0,0,181000
8988,8988000,1,0,0,0,181000
9188,9188000,1,0,0,0,181000
9388,9388000,1,0,0,0,181000
9588,9588000,1,0,0,0,181000
9788,9788000,1,0,0,0,181000
9988,9988000,1,0,0,0,181000
10188,10188000,1,0,0,0,181000
10388,10388000,1,0,0,0,181000
10588,10588000,1,0,0,0,181000
10788,10788000,1,0,0,0,181000
10988,10988000,1,0,0,0,181000
11188,11188000,1,0,0,0,181000
11388,11388000,1,0,0,0,181000
11588,11588000,1,0,0,0,181000
11788,11788000,1,0,0,0,181000
11988,11988000,1,0,0,0,181000
12188,12188000,1,0,0,0,181000
12388,12388000,1,0,0,0,181000
12588,12588000,1,0,0,0,181000
12788,12788000,1,0,0,0,181000
12988,12988000,1,0,0,0,181000
13188,13188000,1,0,0,0,181000
13388,13388000,1,0,0,0,181000
13588,13588000,1,0,0,0,181000
13788,13788000,1,0,0,0,181000
13988,13988000,1,0,0,0,181000
14188,14188000,1,0,0,0,181000
14388,14388000,1,0,0,0,181000
14588,14588000,1,0,0,0,181000
14788,14788000,1,0,0,0,181000
14988,14988000,1,0,0,0,181000
15188,15188000,1,0,0,0,181000
15388,15388000,1,0,0,0,181000
15588,15588000,1,0,0,0,181000
15788,15788000,1,0,0,0,181000
15988,15988000,1,0,0,0,181000
16188,16188000,1,0,0,0,181000
16388,16388000,1,0,0,0,181000
16588,16588000,1,0,0,0,181000
16788,16788000,1,0,0,0,181000
16988,16988000,1,0,0,0,181000
17188,17188000,1,0,0,0,181000
17388,17388000,1,0,0,0,181000
17588,17588000,1,0,0,0,181000
17788,17788000,1,0,0,0,181000
17988,17988000,1,0,0,0,181000
18188,18188000,1,0,0,0,181000
18388,18388000,1,0,0,0,181000
