topic_time_ms,topic_time_us,success,return_code,position_info
5189,5189000,1,0,0
5388,5388000,1,0,0
5588,5588000,1,0,0
5788,5788000,1,0,0
5988,5988000,1,0,0
6188,6188000,1,0,0
6388,6388000,1,0,0
6588,6588000,1,0,0
6788,6788000,1,0,0
6988,6988000,1,0,0
7188,7188000,1,0,0
7388,7388000,1,0,0
7588,7588000,1,0,0
7788,7788000,1,0,0
7988,7988000,1,0,0
8188,8188000,1,0,0
8388,8388000,1,0,0
8588,8588000,1,0,0
8788,8788000,1,0,0
8988,8988000,1,0,0
9188,9188000,1,0,0
9388,9388000,1,0,0
9588,9588000,1,0,0
9788,9788000,1,0,0
9988,9988000,1,0,0
10188,10188000,1,0,0
10388,10388000,1,0,0
10588,10588000,1,0,0
10788,10788000,1,0,0
10988,10988000,1,0,0
11188,11188000,1,0,0
11388,11388000,1,0,0
11588,11588000,1,0,0
11788,11788000,1,0,0
11988,11988000,1,0,0
12188,12188000,1,0,0
12388,12388000,1,0,0
12588,12588000,1,0,0
12788,12788000,1,0,0
12988,12988000,1,0,0
13188,13188000,1,0,0
13388,13388000,1,0,0
13588,13588000,1,0,0
13788,13788000,1,0,0
13988,13988000,1,0,0
14188,14188000,1,0,0
14388,14388000,1,0,0
14588,14588000,1,0,0
14788,14788000,1,0,0
14988,14988000,1,0,0
15188,15188000,1,0,0
15388,15388000,1,0,0
15588,15588000,1,0,0
15788,15788000,1,0,0
15988,15988000,1,0,0
16188,16188000,1,0,0
16388,16388000,1,0,0
16588,16588000,1,0,0
16788,16788000,1,0,0
16988,16988000,1,0,0
17188,17188000,1,0,0
17388,17388000,1,0,0
17588,17588000,1,0,0
17788,17788000,1,0,0
17988,17988000,1,0,0
18188,18188000,1,0,0
18388,18388000,1,0,0
